INFO:root:Epoch: 042 |Batch: 000 | loss: 0.620236 | reconstruction_loss: 0.355124 | z_kl_loss: 0.265111 | accu: 0.943273 Binary_Cross_Entropy:0.35512417554855347.   KL-D:0.26511144638061523.
INFO:root:Epoch: 043 |Batch: 000 | loss: 0.613947 | reconstruction_loss: 0.354667 | z_kl_loss: 0.259280 | accu: 0.943219 Binary_Cross_Entropy:0.35466697812080383.   KL-D:0.2592800557613373.
INFO:root:Epoch: 044 |Batch: 000 | loss: 0.597358 | reconstruction_loss: 0.354375 | z_kl_loss: 0.242983 | accu: 0.943178 Binary_Cross_Entropy:0.35437506437301636.   KL-D:0.24298325181007385.
INFO:root:Epoch: 045 |Batch: 000 | loss: 0.574232 | reconstruction_loss: 0.353886 | z_kl_loss: 0.220345 | accu: 0.943147 Binary_Cross_Entropy:0.3538863956928253.   KL-D:0.22034525871276855.
INFO:root:Epoch: 046 |Batch: 000 | loss: 0.548509 | reconstruction_loss: 0.353629 | z_kl_loss: 0.194880 | accu: 0.942997 Binary_Cross_Entropy:0.3536294996738434.   KL-D:0.1948799341917038.
INFO:root:Epoch: 047 |Batch: 000 | loss: 0.522352 | reconstruction_loss: 0.353198 | z_kl_loss: 0.169154 | accu: 0.942915 Binary_Cross_Entropy:0.3531978726387024.   KL-D:0.16915397346019745.
INFO:root:Epoch: 048 |Batch: 000 | loss: 0.497772 | reconstruction_loss: 0.352900 | z_kl_loss: 0.144872 | accu: 0.942891 Binary_Cross_Entropy:0.35289984941482544.   KL-D:0.14487187564373016.
INFO:root:Epoch: 049 |Batch: 000 | loss: 0.475668 | reconstruction_loss: 0.352632 | z_kl_loss: 0.123036 | accu: 0.942890 Binary_Cross_Entropy:0.3526323139667511.   KL-D:0.12303581088781357.
INFO:root:Epoch: 050 |Batch: 000 | loss: 0.456525 | reconstruction_loss: 0.352400 | z_kl_loss: 0.104125 | accu: 0.942952 Binary_Cross_Entropy:0.3523998558521271.   KL-D:0.1041252389550209.
INFO:root:Epoch: 051 |Batch: 000 | loss: 0.440399 | reconstruction_loss: 0.352123 | z_kl_loss: 0.088276 | accu: 0.942920 Binary_Cross_Entropy:0.35212332010269165.   KL-D:0.08827570825815201.
INFO:root:Epoch: 052 |Batch: 000 | loss: 0.427348 | reconstruction_loss: 0.351968 | z_kl_loss: 0.075379 | accu: 0.943013 Binary_Cross_Entropy:0.35196810960769653.   KL-D:0.07537942379713058.
INFO:root:Epoch: 053 |Batch: 000 | loss: 0.417033 | reconstruction_loss: 0.351876 | z_kl_loss: 0.065157 | accu: 0.943117 Binary_Cross_Entropy:0.351875901222229.   KL-D:0.06515669077634811.
INFO:root:Epoch: 054 |Batch: 000 | loss: 0.490866 | reconstruction_loss: 0.433659 | z_kl_loss: 0.057207 | accu: 0.932196 Binary_Cross_Entropy:0.4336591064929962.   KL-D:0.057206738740205765.
